No;Title
519;Di sekitar jalur jalan Pansela, mulai Banten hingga Jawa Timur, terdapat obyek wisata yang menarik.
520;kumparanBISNIS
521;16 Oktober 2018
522;Tata Ulang Kota Palu Pascagempa, PUPR Butuh Anggaran Rp 6 Triliun
523;Ada 3 wilayah yang menjadi alternatif Kota Palu baru yaitu Duyu, Tondok, dan Pembewe.
524;kumparanBISNIS
525;15 Oktober 2018
526;4 Ruas Tol Baru Sepanjang 109 Km Siap Diresmikan Bulan Ini
527;Progres konstruksi Tol Pejagan-Pemalang seksi 3 Brebes Timur-Tegal Timur dan seksi 4 Tegal-Timur mencapai 100 persen.
528;kumparanBISNIS
529;15 Oktober 2018
530;Pemerintah Getol Bangun Infrastruktur, Emiten Alat Berat Ini Untung
531;Sebanyak 30 persen porsi kontrak baru yang diraih SKRN adalah dari proyek infrastruktur pemerintah.
532;kumparanBISNIS
533;11 Oktober 2018
534;Proyek Infrastruktur Tanpa APBN Diperkirakan Capai Rp 9,38 T di 2019
535;Proyek yang telah ditawarkan dengan skema KPBU, bisa ditawarkan kembali di tahun mendatang.
536;kumparanBISNIS
537;8 Oktober 2018
538;PUPR Akan Bangun Hunian Sementara bagi Warga Petobo dan Balaroa Palu
539;Hunian sementara akan dibangun karena proses relokasi rumah butuh waktu lama.
540;kumparanBISNIS
541;6 Oktober 2018
542;Kontraktor Penggarap Tol Semarang-Demak Diumumkan Bulan Depan
543;Saat ini proses pre qualification Tol Semarang-Demak masih berlangsung.
544;kumparanBISNIS
545;6 Oktober 2018
546;Tol Pejagan-Pemalang dan Ciawi-Sukabumi Ditarget Beroperasi Bulan Ini
547;Progres pengerjaan dua ruas tol itu sudah hampir mencapai 100 persen.
548;kumparanBISNIS
549;6 Oktober 2018
550;Hingga Akhir 2018, Jokowi Akan Resmikan Tol Sepanjang 474 Km
551;Salah satu tol yang akan diresmikan hingga akhir 2018 ialah Tol Sragen-Ngawi sepanjang 51 km.
552;kumparanBISNIS
553;5 Oktober 2018
554;Kementerian PUPR Latih Warga Lombok Agar Bisa Bangun Rumah Tahan Gempa
555;Tenaga yang dibutuhkan PUPR untuk bangun rumah tahan gempa, adalah pandai besi yang bisa merangkai besi dengan tepat.
556;kumparanNEWS
557;5 Oktober 2018
558;Menteri PUPR: Petobo dan Balaroa Tak Bisa Dipakai Lagi, Harus Relokasi
559;Belum ditentukan wilayah relokasi untuk Petobo dan Balaroa.
560;kumparanNEWS
561;5 Oktober 2018
562;Tahun Depan, PUPR Terapkan Aspal Campur Plastik di 4 Daerah
563;4 daerah tersebut adalah Karawang, Jambi, Sumatera Selatan, dan Sumatera Utara.
564;kumparanBISNIS
565;4 Oktober 2018
566;5 Langkah Kementerian PUPR Pulihkan Palu dan Donggala
567;Pascagempa dan tsunami, Kementerian PUPR berupaya memulihkan kondisi di Palu dan Donggala.
568;kumparanBISNIS
569;3 Oktober 2018
570;Asosiasi Kontraktor Siap Bantu Bangun Rumah Tahan Gempa di Sulteng
571;Kontraktor BUMN dan non-BUMN memiliki keinginan untuk berpartisipasi membangun rumah tahan gempa di Palu dan Donggala.
572;kumparanBISNIS
573;2 Oktober 2018
574;Setelah Buka Akses ke Palu, PUPR Akan Perbaiki Jembatan Kuning
575;PUPR bekerja cepat melakukan pemulihan kondisi akses jalan pasca gempa bumi dan tsunami di Palu dan Donggala
576;kumparanBISNIS
577;2 Oktober 2018
578;WIKA Bakal Teken Kontrak Bangun 5 Ribu Rusun di Aljazair Desember 2018
579;Sebelumnya WIKA juga sukses membangun jalan di Aljazair sepanjang 200 kilometer.
580;kumparanBISNIS
581;2 Oktober 2018
582;Kementerian PUPR Kirim Alat Berat dan Peralatan Air Bersih ke Sulteng
583;Langkah Kementerian PUPR dalam membantu penanganan tanggap darurat bencana gempa
584;kumparanBISNIS
585;2 Oktober 2018
586;Kementerian PUPR Targetkan Bendung Karet KBB Rampung Januari 2019
587;Kementerian PUPR membangun bendung karet KBB untuk atasi banjir di Semarang
588;kumparanBISNIS
589;2 Oktober 2018
590;Ada 126 Ribu Kontraktor di Indonesia, Tapi hanya 1 Persen yang Besar
591;Beberapa kontraktor besar di antaranya Adhi Karya, Hutama Karya, Wijaya Karya, Waskita Karya, dan Nindya Karya.
592;kumparanBISNIS
593;2 Oktober 2018
594;4 Fokus Kementerian PUPR Bantu Korban Gempa di Sulteng
595;Basuki Hadimuljono menjelaskan ada 4 fokus yang akan dikerjakan kementeriannya untuk membantu korban gempa dan tsunami.
596;kumparanBISNIS
597;2 Oktober 2018
598;Kontraktor Diminta Kirim Alat Berat ke Palu, Dibayar Pemerintah
599;Kementerian PUPR berjanji membayar alat-alat berat milik kontraktor yang didatangkan ke Palu dan Donggala.
600;kumparanBISNIS
601;2 Oktober 2018
602;Diangkut Hercules, 20 Unit Ekskavator Pindad Akan Dikirim ke Palu
603;Saat ini, beberapa unit Pindad Excava 200 sudah dioperasikan di wilayah Palu.
604;kumparanBISNIS
605;1 Oktober 2018
606;Hingga Akhir September 2018, Penyaluran KPR FLPP Baru 40,9 Persen
607;Pada tahun ini KPR FLPP disalurkan untuk 42.000 rumah, realisasinya baru 17.186 unit rumah.
608;kumparanBISNIS
609;1 Oktober 2018
610;PUPR Kaji Pembangunan Rumah Tahan Gempa di Sulteng
611;PUPR tengah mengkaji untuk membangun kembali rumah warga dan fasilitas umum yang terdampak gempa dan tsunami.
612;kumparanBISNIS
613;1 Oktober 2018
614;PUPR Pastikan Jalur Logistik ke Palu dan Donggala Sudah Bisa Dilewati
615;PUPR memastikan jalan nasional menuju Kota Palu dan Kabupaten Donggala di Sulawesi Tengah sudah bisa dilewati.
616;kumparanBISNIS
617;30 September 2018
618;Peringatan Hari Habitat Dunia 2018 di Palu Dibatalkan
619;Peringatan Hari Habitat Dunia dan Hari Kota Dunia tahun ini batal diselenggarakan karena gempa
620;kumparanBISNIS
621;29 September 2018
622;Tol Desari Diresmikan, Percepat Mobilitas dari Jakarta ke Depok
623;Tol Desari seksi I menghubungkan Jakarta dan Depok sepanjang 5,8 km
624;kumparanBISNIS
625;29 September 2018
626;Kementerian PUPR dan Bank BNI Selenggarakan Akad Kredit Massal
627;Akad kredit massal merupakan upaya memenuhi target program satu juta rumah
628;kumparanBISNIS
629;28 September 2018
630;Jokowi Resmikan Tol Depok-Antasari Seksi I 5,8 Km
631;Tol Depok-Antasari Seksi I menghubungkan Jakarta dengan Kota Depok serta Kabupaten dan Kota Bogor.
632;kumparanNEWS
633;27 September 2018
634;Diresmikan Jokowi Sore Ini, Tol Depok-Antasari Seksi I Gratis Seminggu
635;Masyarakat tidak akan dikenakan biaya terlebih dulu ketika melintasi ruas Tol Depok-Antasari seksi I selama sepekan.
636;kumparanBISNIS
637;27 September 2018
638;Indonesia dan Aljazair Tingkatkan Kerja Sama Pembangunan Infrastruktur
639;Pertemuan antara Indonesia dan Aljazair menghasilkan penandatanganan MoU baru
640;kumparanBISNIS
641;27 September 2018
642;Jokowi Akan Resmikan Tol Depok-Antasari Seksi I Hari Ini
643;Ruas tol yang sudah rampung dan siap digunakan adalah seksi I Antasari-Brigif sepanjang 5,8 km.
644;kumparanBISNIS
645;27 September 2018
646;Mengenal Risha, Rumah Tahan Gempa Dibanderol Mulai Rp 27 Juta
647;Risha tengah giat dipromosikan oleh Kementerian PUPR untuk dibangun di banyak wilayah, utamanya yang rawan gempa.
648;kumparanBISNIS
649;26 September 2018
650;Kementerian PUPR: Hanya 11 Bank yang Salurkan KPR Bersubsidi
651;Padahal bank pelaksana yang ditugaskan menyalurkan KPR Bersubsidi mencapai 40 bank.
652;kumparanBISNIS
653;25 September 2018
654;Kementerian PUPR Dorong Peningkatan Kerja Sama Indonesia - Spanyol
655;Kerja sama Indonesia dan Spanyol sudah terjalin sejak tahun 1999
656;kumparanBISNIS
657;23 September 2018
658;Kementerian PUPR Targetkan Peningkatan Pembangunan Jalan di Perbatasan
659;Pembangunan jalan di perbatasan sudah mencapai tiga juta kilometer hingga saat ini
660;kumparanBISNIS
661;23 September 2018
662;PUPR Siapkan Rp 10 Miliar untuk Bantu Sopir Ojek Cs Kredit Rumah
663;Saat ini, sebanyak 200 pekerja informal diajukan untuk bisa kredit rumah.
664;kumparanBISNIS
665;17 September 2018
666;Tol JORR Jauh Dekat Rp 15.000, Bintaro-Bintaro Viaduct Tetap Rp 3.000
667;Meski tarif tol JORR diseragamkan, tol ruas Ulujami-Pondok Aren dari Bintaro Viaduct ke Bintaro tetap Rp 3.000.
668;kumparanBISNIS
669;16 September 2018
670;Kementerian PUPR Buka Seleksi Terbuka Empat Jabatan Tinggi Madya
671;Seleksi terhadap pelamar yang memenuhi syarat administrasi akan dilakukan melalui dua tahapan.
672;kumparanBISNIS
673;16 September 2018
674;Hingga September 2018, Realisasi Program Sejuta Rumah Capai 68 Persen
675;Dari jumlah tersebut, sebanyak 69 persen rumah yang dibangun merupakan hunian dengan harga murah untuk MBR.
676;kumparanBISNIS
677;13 September 2018
678;Bangun Kembali 1.266 Fasilitas Publik di Lombok, PUPR Gandeng 8 BUMN
679;Sebanyak 8 BUMN bidang konstruksi dilibatkan untuk memperbaiki fasilitas publik yang rusak pasca gempa di Lombok.
680;kumparanBISNIS
681;12 September 2018
682;200 Sopir Ojek hingga PKL Sedang Diproses untuk Terima Kredit Rumah
683;Sebelum memperoleh kredit, pekerja informal wajib memiliki dana 5 persen dari total harga rumah.
684;kumparanBISNIS
685;11 September 2018
686;PUPR Akan Cabut Izin Bank Penyalur KPR FLPP yang Kinerjanya Buruk
687;Nantinya kuota penyaluran KPR Bersubsidi oleh bank yang izinnya dicabut akan dialihkan ke bank lain.
688;kumparanBISNIS
689;11 September 2018
690;Usai Asian Para Games, Wisma Atlet Kemayoran Disewakan ke Masyarakat
691;Wisma atlet di Kemayoran, Jakarta Pusat, memiliki sebanyak 10 tower yang terbagi dalam 3 blok.
692;kumparanBISNIS
693;10 September 2018
694;Infrastruktur Asian Games Dipuji, PUPR Beri Penghargaan ke Kontraktor
695;Dalam penyelenggaraan Asian Games, Kementerian PUPR diberi tugas untuk mengerjakan 33 dari total 79 venue.
696;kumparanBISNIS
697;10 September 2018
698;Perbaikan 1.266 Fasilitas Publik Pascagempa Lombok Selesai Akhir 2019
699;Terdapat 1.266 fasilitas publik yang mengalami kerusakan akibat gempa. Perbaikan ditarget selesai 2019.
700;kumparanBISNIS
701;10 September 2018
702;Progres Konstruksi Tol Balikpapan-Samarinda Tak Sesuai Target, Kenapa?
703;Pembangunan Tol Balikpapan-Samarinda ditargetkan dapat selesai pada Januari 2019.
704;kumparanBISNIS
705;8 September 2018
706;Konstruksi Tol Balikpapan-Samarinda Ditargetkan Selesai Januari 2019
707;Tol sepanjang 99,55 km itu didanai oleh APBD Kalimantan Timur, APBN, BUMN, dan pinjaman dari China.
708;kumparanBISNIS
709;7 September 2018
710;Pembangunan Jalan Perbatasan Kalimantan-Malaysia Telan Rp 24 Triliun
711;Untuk membangun 1.070 km akses jalan perbatasan Indonesia dengan Malaysia dibutuhkan dana sebesar Rp 24 triliun.
712;kumparanBISNIS
713;7 September 2018
714;Tahun Depan, Kalimantan Timur Akan Punya Jembatan di Atas Laut
715;Jembatan Pulau Balang II di Kalimantan Timur, yang dibangun di atas laut ditargetkan selesai pada November 2019.
716;kumparanBISNIS
717;6 September 2018
718;Jalan Perbatasan Kalimantan Dibangun agar Ekonomi Rakyat Bergerak
719;Kementerian PUPR tengah menyelesaikan beberapa ruas jalan perbatasan antara Kalimantan dan Malaysia.
720;kumparanBISNIS
721;6 September 2018
722;Proyek Jalan Perbatasan RI-Malaysia di Kalimantan Masih Perlu Rp 1,1 T
723;Kementerian PUPR sedang menuntaskan pembangunan jalan perbatasan RI-Malaysia di Kalimantan sepanjang 1.070 kilo meter.
724;kumparanBISNIS
725;6 September 2018
726;Cerita Warga Perbatasan RI Kesulitan Beli Kebutuhan Pokok
727;Untuk memenuhi kebutuhan pokok, mereka bergantung ke Malaysia karena aksesnya lebih mudah.
728;kumparanBISNIS
729;6 September 2018
730;PUPR Belah Ratusan Bukit untuk Bangun Jalan Perbatasan RI - Malaysia
731;Membangun jalan perbatasan RI - Malaysia tidaklah mudah, kondisi medan dan kondisi tanah menjadi tantangan.
732;kumparanBISNIS
733;5 September 2018
734;Jalan Perbatasan di Kalimantan Bisa Difungsikan Tahun Depan
735;Akses jalan perbatasan negara sepanjang 1.070 km yang tengah dibangun dapat beroperasi fungsional di 2019.
736;kumparanBISNIS
737;5 September 2018
738;Kementerian PUPR Mulai Rehabilitasi dan Rekonstruksi Fasilitas di NTB
739;Rehabilitasi dan rekonstruksi fasilitas-fasilitas penting publik ditargetkan bisa selesai Desember 2018.
740;kumparanNEWS
741;3 September 2018
742;Penyaluran KPR Subsidi Masih Rendah, Bank Akan Dievaluasi
743;Penyaluran KPR FLPP masih jauh di bawah target. Bank penyalur akan dievaluasi.
744;kumparanBISNIS
745;3 September 2018
746;Insinyur Muda Bantu Korban Gempa Lombok Bangun Lagi Rumah yang Rusak
747;Korban gempa Lombok mendapatkan dana bantuan untuk membangun rumah mereka yang rusak.
748;kumparanNEWS
749;3 September 2018
750;Pemerintah Usulkan Rp 529,6 M untuk Renovasi Fasilitas Umum di Lombok
751;Dana tambahan yang diusulkan pada tahun 2018 sebesar Rp 529,6 miliar.
752;kumparanBISNIS
753;31 Agustus 2018
754;PUPR Bangun Rumah Tahan Gempa dari Sisa Reruntuhan Bangunan di Lombok
755;PUPR bangun rumah tersebut bertipe instan, sederhana dan sehat.
756;kumparanNEWS
757;31 Agustus 2018
758;400 Insinyur Kementerian PUPR Akan Perbaiki 78 Ribu Rumah di Lombok
759;Insinyur yang dikirim ke Lombok merupakan CPNS Kementerian PUPR.
760;kumparanNEWS
761;31 Agustus 2018
762;Kementerian PUPR Kirim 400 CPNS untuk Pulihkan Kondisi Lombok
763;400 orang tersebut ditargetkan bisa memulihkan kondisi Lombok dalam 1 tahun.
764;kumparanNEWS
765;31 Agustus 2018
766;AIIB Tawarkan Pinjaman USD 1 Miliar untuk Danai Proyek Infrastruktur
767;AIIB baru memberikan komitmen pemberian utang senilai USD 1 miliar untuk tahun ini.
768;kumparanBISNIS
769;30 Agustus 2018
770;Tidak Ada Jembatan, Warga 2 Kecamatan di Sukabumi Gunakan Rakit
771;Jika air sungai sedang pasang, warga harus mengambil jalan memutar yang berjarak 30 kilometer.
772;Sukabumi Update
773;28 Agustus 2018
774;Pemerintah Optimalkan Air Bersih dari Sumur untuk Korban Gempa Lombok
775;Masyarakat terdampak gempa di Lombok kesulitan air bersih karena pipa PDAM rusak dan sedang musim kemarau.
776;kumparanNEWS
777;27 Agustus 2018
778;Kementerian PUPR: 74 Ribu Rumah Warga Rusak Akibat Gempa Lombok
779;Jumlah tersebut merupakan pendataan awal, artinya masih sangat mungkin jumlahnya bertambah.
780;kumparanBISNIS
781;27 Agustus 2018
782;PUPR Terjunkan Tim Fasilitator Bantu Korban Gempa Lombok Bangun Rumah
783;Tim fasilitator bantu berikan bimbingan dan panduan bagi warga untuk membangun rumahnya yang rusak.
784;kumparanNEWS
785;27 Agustus 2018
786;Usai Gempa, Fasilitas Publik di Lombok Bisa Normal Lagi di Akhir 2018
787;Beberapa tempat penting seperti fasilitas publik akan kembali berfungsi pada Desember 2018.
788;kumparanBISNIS
789;27 Agustus 2018
790;Kredit Perbaikan Rumah bagi Pekerja Informal Diluncurkan Tahun Depan
791;Program ini hadir untuk memfasilitasi pekerja informal yang selama ini tak bisa mengajukan kredit.
792;kumparanBISNIS
793;27 Agustus 2018
794;Jembatan Musi IV Ditargetkan Bisa Beroperasi November 2018
795;Saat ini pengerjaan konstruksi Jembatan Musi IV sudah mencapai 90 persen.
796;kumparanBISNIS
797;26 Agustus 2018
798;Baru Dideklarasikan, Himperra Berkomitmen Bangun 120 Ribu Rumah Murah
799;Himperra terdiri dari 1.600 pengembang yang memisahkan diri dari Apersi.
800;kumparanBISNIS
801;25 Agustus 2018
802;Jumlah Rumah Murah yang RI Bangun Terbanyak Kedua se-Asia Pasific
803;Dalam pembangunan rumah murah se-Asia Pasific, Indonesia hanya kalah dengan China.
804;kumparanBISNIS
805;25 Agustus 2018
806;PUPR: Beli Rumah Subsidi Lebih Aman di Pengembang yang Sudah Terdaftar
807;Hingga 23 Agustus 2018 telah terdapat 10.237 pengembang perumahan dari 16 asosiasi yang mendaftar pada aplikasi Sireng.
808;kumparanBISNIS
809;25 Agustus 2018
810;PUPR Berencana Ubah Arsitektur Rumah Subsidi: yang Sekarang Monoton
811;Kementerian PUPR berencana mengusulkan kepada pengembang untuk mengubah desain rumah murah.
812;kumparanBISNIS
813;25 Agustus 2018
814;PUPR: Belum Ada Bank yang Mau Beri Kredit Rumah DP 0 Persen
815;Sebab dalam DP 0 persen, cicilan yang ditanggung sebesar 100 persen harga rumah beserta bunga.
816;kumparanBISNIS
817;24 Agustus 2018
818;Bangun Rumah Murah di Kota Besar, Pemerintah Akan Bentuk Bank Tanah
819;Badan Pengelola Bank Tanah akan mengelola tanah yang telantar, tanah bekas kawasan hutan, hingga tanah wakaf.
820;kumparanBISNIS
821;23 Agustus 2018
822;Debitur KPR Bersubsidi di Lombok Diberi Kelonggaran Bayar Cicilan
823;Korban gempa Lombok yang memiliki tanggungan cicilan KPR bersubsidi akan diberi kelonggaran.
824;kumparanBISNIS
825;23 Agustus 2018
826;Tahun Depan, Pemerintah Libatkan Swasta untuk Bangun Rumah Murah
827;Sistem pembangunan rumah murah yang melibatkan swasta akan dilakukan di Bogor, Bandung, dan Palembang.
828;kumparanBISNIS
829;23 Agustus 2018
830;1.852 Km Jalan Tol Akan Dibangun, Waktu Tempuh Logistik Lebih Cepat
831;Dengan akses tersebut, waktu tempuh di jalur logistik utama akan terpangkas, dari 2,7 jam/100 km menjadi 2,2 jam/100 km.
832;kumparanBISNIS
833;23 Agustus 2018
834;Air dari SPAM Umbulan Pasuruan Akan Didistribusikan ke 6 Daerah
835;Investasi pembangunan SPAM Umbulan mencapai Rp 2,05 triliun.
836;kumparanBISNIS
837;23 Agustus 2018
838;Pengusaha Ancam Akan Impor Air Jika Isi RUU SDA Tak Diubah
839;Aturan pelaku usaha harus menyisihkan laba bersih perusahaan untuk konservasi air ditentang pengusaha.
840;kumparanBISNIS
841;21 Agustus 2018
842;Bangun Rumah Korban Gempa Lombok Butuh Waktu Setahun
843;Kementerian PUPR menyiapkan pembangunan rumah korban gempa lombok dengan sistem modul butuh waktu setahun.
844;kumparanBISNIS
845;21 Agustus 2018
846;Pemerintah Siapkan Rumah Knock Down Tipe 36 untuk Korban Gempa Lombok
847;Rumah berukuran tipe 36 itu dibangun dengan dana Rp 50 juta per unit dan didesain tahan gempa.
848;kumparanBISNIS
849;21 Agustus 2018
850;PUPR Akan Perbaiki 36 Ribu Rumah yang Rusak Akibat Gempa Lombok
851;PUPR akan membangun kembali seluruh rumah milik warga yang terdampak gempa di Lombok dengan teknologi anti gempa.
852;kumparanBISNIS
853;20 Agustus 2018
854;Menteri PUPR: 36 Ribu Bangunan Rusak Berat Akibat Gempa Lombok
855;Kementerian PUPR terus berupaya memperbaiki bangunan yang rusak akibat gempa Lombok.
856;kumparanNEWS
857;20 Agustus 2018
858;Menteri PUPR dan Menkumham Lapor ke JK soal Perkembangan RUU SDA
859;Dalam RUU SDA ini, pemerintah menjamin pengelolaan tetap dipegang oleh negara berdasarkan Pasal 33 UUD 1945
860;kumparanNEWS
861;20 Agustus 2018
862;PUPR Akan Bangun Pasar Tradisional dan Renovasi Stadion Solo
863;Untuk membangun infrastruktur itu, PUPR meminta tambahan anggaran ke Menteri Keuangan Sri Mulyani.
864;kumparanBISNIS
865;20 Agustus 2018
866;Kecuali Bendungan, Tak Ada Proyek Infrastruktur Baru di 2019
867;Menteri PUPR menyatakan ada 48 bendungan yang akan dibangun, sementara infrastruktur lain tahapnya tinggal penyelesaian.
868;kumparanBISNIS
869;16 Agustus 2018
870;Jembatan Penyeberangan Rusak, Warga Lengayang Sumbar Gunakan Rakit
871;Jembatan yang rusak diterjang arus sungai tersebut merupakan akses penyeberangan terdekat warga setempat.
872;langkan
873;13 Agustus 2018
874;PUPR Pastikan Proyek Strategis Nasional Tak Terganggu di Tahun Politik
875;Pengerjaan Proyek Strategis Nasional dipastikan tak akan terganggu di tahun politik.
876;kumparanBISNIS
877;12 Agustus 2018
878;Tak Pakai Material Impor, Proyek Infrastruktur Pemerintah Jalan Terus
879;Proyek-proyek infrastruktur Kementerian PUPR tak perlu ditunda karena tak banyak memakai material impor.
880;kumparanBISNIS
881;10 Agustus 2018
882;Porsi Pembiayaan Rumah Murah oleh Perbankan Akan Diperbesar
883;Proporsi pembiayaan KPR Bersubsidi berubah dari semula 90 persen didanai pemerintah, kini hanya 75 persen, sisanya bank.
884;kumparanBISNIS
885;8 Agustus 2018
886;Tahun Ini Baru 130 KPR yang Diberikan ke Tukang Bakso hingga PKL
887;Perbankan tengah mendata para pekerja informal yang akan mendapat fasilitas KPR.
888;kumparanBISNIS
889;7 Agustus 2018
890;Usai Asian Games, Wisma Atlet Kemayoran Kemungkinan Bisa Disewa
891;Rencananya seusai penyelenggaraan Asian Games XVIII, wisma atlet itu akan disewakan untuk masyarakat umum.
892;kumparanBISNIS
893;7 Agustus 2018
894;PUPR Akan Bangun Rumah Tahan Gempa untuk Korban Bencana di Lombok
895;Tim pakar gempa hingga tim khusus dari BMKG tengah turun untuk meneliti struktur bangunan rumah korban gempa Lombok.
896;kumparanBISNIS
897;7 Agustus 2018
898;Pinjaman Bank Dunia Rp 4,3 T Dipakai untuk Kembangkan 3 Lokasi Wisata
899;Pinjaman Bank Dunia untuk pengembangan wisata di 3 Kawasan Strategis yakni Borobudur, Danau Toba, dan Mandalika.
900;kumparanBISNIS
901;2 Agustus 2018
902;Kementerian PUPR Bangun 204 Unit Rumah Khusus Bagi Nelayan di NTB
903;Pembangunan rumah khusus ini sudah selesai sejak 2017 lalu.
904;kumparanNEWS
905;1 Agustus 2018
906;Situs PUPR Banjarmasin Diretas, Hacker Tulis Pesan soal 'Dosa'
907;Laman situs PUPR kota Banjarmasin jadi target serangan hacker, menyebut 'dosa' sebagai alasan peretasan.
908;kumparanTECH
909;31 Juli 2018
910;Kementerian PUPR: Bendungan dan Jalan Nasional Aman dari Gempa Lombok
911;Kementerian PUPR memastikan sejumlah infrastruktur di Pulau Lombok dan Sumbawa aman dari gempa 6,4 magnitudo.
912;kumparanNEWS
913;29 Juli 2018
914;Pemerintah Pusat Tawarkan Bantuan untuk Hilangkan Bau di Kali Item
915;Kementerian PUPR menawarkan bantuan kepada Pemprov DKI untuk selesaikan masalah bau di Kali Item jelang Asian Games.
916;kumparanNEWS
917;27 Juli 2018
918;Warga Binaan Lapas Nusakambangan Dilatih Jadi Tukang Bangunan
919;Pelatihan tukang bangunan ini merupakan kerja sama Kemenkumham dan Kementerian PUPR.
920;kumparanNEWS
921;27 Juli 2018
922;Hingga 26 Juli 2018, Realisasi Program Sejuta Rumah Sudah 48 Persen
923;Di tahun 2017, realisasi program sejuta rumah hanya mencapai 904.758 unit.
924;kumparanBISNIS
925;27 Juli 2018
926;Kejar Target 3 Juta Wisatawan, PUPR Perbaiki Akses Jalan Menuju Bromo
927;Kawasan Bromo baru dikunjungi 25 ribu wisatawan mancanegara dan 525 ribu wisatawan nusantara pada tahun 2015 lalu.
928;kumparanBISNIS
929;25 Juli 2018
930;Menteri PUPR Targetkan Infrastruktur Asian Games Diresmikan 1 Agustus
931;Saat ini, pembangunan cauldron utama di venue Asian Games 2018 di Jakarta yang masih dikebut pengerjaannya.
932;kumparanBISNIS
933;23 Juli 2018
934;Menteri PUPR Pastikan RUU SDA Tidak Memberatkan Pengusaha
935;Air dipandang merupakan kebutuhan dasar bagi manusia yang tidak dapat disubtitusi, sehingga pembahasan akan berhati-hati
936;kumparanBISNIS
937;23 Juli 2018
938;Konsumsi Baja di RI Lebih Rendah dari Malaysia dan Vietnam
939;Konsumsi baja di Indonesia setiap tahun hanya 65 kg per kapita.
940;kumparanBISNIS
941;23 Juli 2018
942;Program PUPR Rumah Bantuan Nelayan Senilai Rp4,9 M Dihentikan Warga
943;langkan
944;22 Juli 2018
945;PUPR Targetkan KPR untuk Tukang Bakso hingga PKL Dimulai Bulan Depan
946;Program ini dihadirkan sebagai solusi bagi pekerja informal yang selama ini kesulitan mengakses KPR dari bank.
947;kumparanBISNIS
948;17 Juli 2018
949;Pemerintah Ingin Pembangunan Jalan Trans Papua 246 Km Dibiayai Swasta
950;Pembangunan jalan Trans Papua sepanjang 246,7 kilometer (km) dibiayai swasta melalui skema Availability Payment.
951;kumparanBISNIS
952;16 Juli 2018
953;Sesuai Perintah Jokowi, Kementerian PUPR Segera Renovasi Rumah Zohri
954;Pihak kementerian PUPR saat ini telah berada di rumah Lalu Muhammad Zohri.
955;kumparanNEWS
956;13 Juli 2018
957;Pembangunan Tol Yogyakarta - Solo Baru Bisa Direalisasikan Tahun Depan
958;Kontraktor pemrakarsa Tol Yogyakarta - Solo yakni PT Adhi Karya, DDT, dan Gama Group.
959;kumparanBISNIS
960;13 Juli 2018
961;Jalan Rusak Akibat LRT Palembang Segera Diperbaiki Sebelum Asian Games
962;Jalan sepanjang 50 kilometer dari Bandara SM Badaruddin II rusak akibat pembangunan proyek LRT Palembang.
963;kumparanNEWS
964;13 Juli 2018
965;Jokowi Akan Resmikan 5 Venue Asian Games di Jakabaring Sport City
966;Jokowi akan meresmikan venue menembak, dayung, kano, voli pantai, dan boling pada Sabtu (14/7).
967;kumparanNEWS
968;13 Juli 2018
969;Per Juli 2018, Realisasi Penyaluran KPR Bersubsidi Baru 25%
970;Penyaluran KPR FLPP atau KPR bersubsidi per 6 Juli 2018 mencapai 10.829 rumah dengan anggaran Rp 1,24 triliun.
971;kumparanBISNIS
972;13 Juli 2018
973;RI Terpilih Jadi Tuan Rumah Pekan Air Internasional Asia di 2020
974;Acara Asia International Water Week untuk pertama kalinya dilaksanakan pada 2017 di Gyeongju City, Korea Selatan.
975;kumparanBISNIS
976;11 Juli 2018
977;Pemerintah Talangi Dana Pembebasan Lahan Non Proyek Strategis Nasional
978;Aturan talangan dana pembebasan lahan non proyek strategis nasional akan dituangkan dalam Perpres.
979;kumparanBISNIS
980;10 Juli 2018
981;Tol Kartasura-Sragen Sepanjang 35,2 Km Akan Diresmikan Pekan Ini
982;Ruas Tol Kartasura-Sragen (35,2 km) merupakan bagian dari Tol Solo-Ngawi.
983;kumparanBISNIS
984;10 Juli 2018
985;PUPR Tawarkan Tol Semarang-Demak hingga Gedebage-Cilacap ke Swasta
986;Selama ini, proyek pembangunan jalan tol didominasi oleh BUMN.
987;kumparanBISNIS
988;10 Juli 2018
989;Rencana Pembangunan Tol Kertosono-Kediri Masuki Tahap Administrasi
990;BPJT mendorong pembangunan jalan tol di jalur Pantai Selatan (Pansela) Jawa, tak melulu di jalur Pantai Utara (Pantura).
991;kumparanBISNIS
992;6 Juli 2018
993;BUMN dan Swasta Minati Proyek Jalintim Senilai Rp 2,2 Triliun
994;Lelang proyek tersebut akan diumumkan Jumat (6/7), sedangkan pemenang tender ditetapkan pada 13 Juli 2018.
995;kumparanBISNIS
996;5 Juli 2018
997;Semester I 2018, PUPR Habiskan Rp 30,8 T untuk Belanja Infrastruktur
998;Kementerian PUPR telah menghabiskan Rp 30,38 triliun untuk belanja infrastruktur di semester I 2018.
999;kumparanBISNIS
1000;5 Juli 2018
1001;Ribuan Mahasiswa Dikerahkan untuk Promosikan Pembangunan Infrastruktur
1002;Mahasiswa ikut mensosialisasikan pembangunan infrastruktur ke masyarakat saat penyelenggaraan Kuliah Kerja Nyata (KKN).
1003;kumparanBISNIS
1004;5 Juli 2018
